"","Time_Step","B_CL2_VAL_prob","B_TURB_VAL_prob","B_PH_VAL_prob","B_TOC_VAL_prob","B_COND_VAL_prob","B_TEMP_VAL_prob","B_PRES_OP_prob","B_PLNT_PRES_OP_prob","B_PLNT_PH_VAL_prob","B_PLNT_TURB_VAL_prob","B_PLNT_FLOW_OP_prob","B_PLNT_CL2_VAL_prob","Event_Column"
"4211","04/20/2006 11:20:00",0.000279507861471462,0.000168799162631017,0.00988608972134064,0,0,0,9.54046484813453e-07,0,1,0.000291506595723079,0,1,1
"4212","04/20/2006 11:40:00",0.000200276134295851,0.0001370274859811,0.00988608972134064,0,0,0,1,0,1,0.000223273162484494,0,1,1
"4213","04/20/2006 12:00:00",0.000200276134295851,0.000102334024188577,0.00988608972134064,0,0,0,9.54046484813453e-07,0,1,0.000182800604463074,0,1,1
"4214","04/20/2006 12:20:00",0.000143504120983629,7.64244664611669e-05,0.0137971496506188,0,0,0,0,0,1,0.000159982211730969,0,1,1
"4215","04/20/2006 12:40:00",0.000143504120983629,5.95055259168253e-05,0.0192554734831762,0,0,0,0,0,1,0.000627490981655154,0,1,1
"4216","04/20/2006 13:00:00",0.000200276134295851,5.47434619725395e-05,0.0268731780440363,0,0,0,0,0,1,0.000110874171220798,0,1,1
"4217","04/20/2006 13:20:00",0.000200276134295851,6.46818357306067e-05,0.0268731780440363,0,0,0,0,0,1,9.38529597007687e-05,0,1,1
"4218","04/20/2006 13:40:00",0.000279507861471462,0.000115973192214791,0.0523418036676918,0,0,0,0,0,1,7.43211795568577e-05,0,0.909781411079911,1
"4219","04/20/2006 14:00:00",0.000544406976530354,0.000161904070722918,0.101947912773765,0,0,0,0,0,1,4.5078074067284e-05,0,0.467097351026061,1
"4220","04/20/2006 14:20:00",0.000390084644378841,0.00019129686229713,0.142279773778659,0,0,0,0,0,0.727786529292169,3.12409364038313e-05,0,0.334689877096251,0
"4221","04/20/2006 14:40:00",0.0010603600003759,0.000278432882229285,0.198567420123933,0,0,0,0,0,0.727786529292169,2.4739371580873e-05,0,0.239815776271552,0
"4222","04/20/2006 15:00:00",0.00147985159158881,0.000302653403577269,0.277123158742257,0,0,0,0,0,0.521481835651671,2.55779153888192e-05,0,0.239815776271552,0
"4223","04/20/2006 15:20:00",0.00147985159158881,0.000302653403577269,0.386756523619795,0,0,0,0,8.55981951985996e-14,0.521481835651671,2.31438549191942e-05,0,0.0882232937588759,0
"4224","04/20/2006 15:40:00",0.0010603600003759,0.000315542659694468,0.539762209846884,0,0,0,0,8.55981951985996e-14,0.521481835651671,2.39283185088368e-05,0,0.0882232937588759,0
"4225","04/20/2006 16:00:00",0.0010603600003759,0.000302653403577269,0.386756523619795,0,0,0,0,8.55981951985996e-14,0.727786529292169,2.6444881734311e-05,0,0.0632147523001824,0
"4226","04/20/2006 16:20:00",0.000759781140749372,0.000278432882229285,0.386756523619795,0,0,0,0,8.55981951985996e-14,0.727786529292169,2.82679682327425e-05,0,0.0232554077499827,0
"4227","04/20/2006 16:40:00",0.0010603600003759,0.000245687445182718,0.277123158742257,0,0,0,0,8.55981951985996e-14,0.727786529292169,2.92261142247341e-05,0,0.0119397244489241,0
"4228","04/20/2006 17:00:00",0.000759781140749372,0.000226025753159331,0.277123158742257,0,0,0,0,8.55981951985996e-14,0.727786529292169,0.000393492745703217,0,0.00855518640727759,0
